Date,Open,High,Low,Close,Volume
2018-08-31,100.70674739392032,100.71534260754714,100.36104335311347,100.48826376119389,3474381
2018-09-03,99.00392522330138,99.29200348967147,98.51955347224863,98.96251881210488,3285798
2018-09-04,100.39817734836961,100.33008965009637,99.97602503436623,100.11283987031037,2044787
2018-09-05,101.32836823160727,101.69365371911587,100.4288116598204,101.56575480016991,3889170
2018-09-06,98.60909463428443,99.35907376163989,97.96069022871566,98.66604761302543,3685149
2018-09-07,97.06613360488159,97.32986639589734,96.63774275283899,96.78656553360491,1699154
2018-09-10,96.63922312462734,97.04712321640515,96.84719257773689,97.00143817002092,3693754
2018-09-11,96.67960341570642,97.10777568845748,96.34455883872663,96.57135508211826,4600276
2018-09-12,96.67877981946373,97.15002894901633,96.17132628609913,96.57598894160735,4101864
2018-09-13,95.7523533631456,95.67509118607555,94.82053302967981,95.37671677714303,3692702
2018-09-14,96.36610447079318,97.28338993801464,96.49737639236838,96.67215990972389,3855933
2018-09-17,98.15093331702941,98.70533574145259,97.71051913733397,97.83597367358954,4043072
2018-09-18,97.85269453589828,98.28499518272776,97.62583079104121,97.96230862711467,1516684
2018-09-19,99.5735929244522,99.66777411954509,98.80418392681716,99.66269325782528,3632714
2018-09-20,100.14879767972825,101.1924053133216,100.3083472957239,100.39416189224319,1077182
2018-09-21,98.92248817882827,99.21714599335834,99.08215044354522,99.13818352871323,1856432
2018-09-24,99.79844989781206,99.73197497331591,98.96574072309384,99.71797303668585,4679184
2018-09-25,98.1047269885345,98.64807861394698,97.84779910095445,98.3234636416955,1486859
2018-09-26,99.80506376062264,99.94744280939268,99.49757370334765,99.65751396798007,4233749
2018-09-27,99.48070908490114,99.85016763245704,99.61020569556565,99.61278887864215,2170333
2018-09-28,99.12568674566184,99.37405080650711,99.2696853768308,99.36675721702545,1128332
2018-10-01,98.28264933245333,98.77512792332791,98.20852036926331,98.38650792998105,575448
2018-10-02,100.30494420759474,100.30256205346993,99.55753237150637,100.23744287179836,2786276
2018-10-03,99.9798831792019,100.0702851914751,99.26385833453521,100.03537345347353,2311274
2018-10-04,99.43134028021196,100.08743796772386,98.98339591664242,99.42453762981695,2605585
2018-10-05,99.06818830482665,99.65847127800058,98.45322611481495,98.93043608921064,311390
2018-10-08,99.96939390324043,100.03532334712958,99.4323250577013,99.75344336928927,1413805
2018-10-09,100.26962956136546,101.63711583451453,100.01344595733482,100.33185443609088,119335
2018-10-10,100.77432364397914,101.08894277775823,100.89992889085306,100.98522563569257,1582196
2018-10-11,101.68590684905575,101.91346829091052,101.57059610833271,101.67043373170247,4664344
2018-10-12,105.11995333264646,105.70806453032237,104.3782086246283,105.02109706091862,846327
2018-10-15,104.10909115008508,104.67175715290503,104.17312203027542,104.41413187956022,3477750
2018-10-16,103.4613986604489,103.98777921436526,103.3416800805709,103.6460146616678,128322
2018-10-17,102.27194449810192,102.6225197927412,102.11458872238515,102.41926167989067,2853050
2018-10-18,103.35800700915135,103.4597934027969,103.02637680933779,103.40098504720807,4612588
2018-10-19,105.0383840418586,105.58607379823547,105.11347009166555,105.19850329709838,1771399
2018-10-22,105.1989104911789,105.29331894901783,103.89541192380618,105.05036072474189,1066090
2018-10-23,103.43279556623021,104.28295391778366,103.75678146073295,103.7659117866068,2895636
2018-10-24,102.1973611288953,103.03064651024616,102.16593863251994,102.52127066515504,1466834
2018-10-25,103.48857155657095,103.7102619110888,103.46775289933485,103.55772508807593,4468721
2018-10-26,104.7133516625634,105.2333842293721,104.70187314841935,104.75015097807014,4260090
2018-10-29,105.33142273837758,105.98738397613461,105.55891007886522,105.63875627748838,3296662
2018-10-30,104.4938725671569,105.62332996724315,104.60442792783459,104.62082970183373,3231295
2018-10-31,104.93306586135425,105.41817061331297,104.25936451939967,105.01729893827674,3052161
2018-11-01,105.15005971954199,105.9584943668574,104.72633376396334,105.23283543581444,3702930
2018-11-02,105.64235937738923,106.13533892634412,105.53142220560072,105.6102788857737,2355002
2018-11-05,106.89030291994845,107.38536523021125,106.9434782971916,107.03192304043405,4851749
